iter	Logloss
0	0.680460362
1	0.6688408058
2	0.6584953462
3	0.6488895587
4	0.6410527502
5	0.6339341934
6	0.6262849998
7	0.6199715412
8	0.6133145457
9	0.6076741661
10	0.6017382884
11	0.5963752456
12	0.5908120798
13	0.5859949158
14	0.5821858444
15	0.5784989625
16	0.5745365087
17	0.5705091195
18	0.5672802539
19	0.5635349055
20	0.5602753369
21	0.5577998131
22	0.5546287527
23	0.5517791229
24	0.5492960242
25	0.5465930674
26	0.5443133653
27	0.5416588911
28	0.5390889988
29	0.5366418058
30	0.5343852564
31	0.5321956352
32	0.5302195752
33	0.5281056828
34	0.5261088929
35	0.5242368928
36	0.5223738501
37	0.5202570178
38	0.518598245
39	0.5166563476
40	0.5149987103
41	0.5134951509
42	0.5118167858
43	0.5099095059
44	0.5081363762
45	0.5064912083
46	0.5049918449
47	0.5034880451
48	0.5022019818
49	0.5007545789
50	0.4992842437
51	0.4977199476
52	0.4966086362
53	0.495277935
54	0.4939781955
55	0.4927447558
56	0.4915450464
57	0.4901593919
58	0.4888831674
59	0.4876907557
60	0.486465866
61	0.4852950314
62	0.4840752458
63	0.4830084356
64	0.4818814615
65	0.4808797896
66	0.4798200556
67	0.4789011386
68	0.4777765215
69	0.4767745396
70	0.4757906261
71	0.474822701
72	0.4739226775
73	0.4731161126
74	0.4720314014
75	0.4710250831
76	0.470060671
77	0.4690995561
78	0.4682221646
79	0.4673722739
80	0.4664514864
81	0.4654687824
82	0.464582195
83	0.4637975363
84	0.4629692894
85	0.4620449279
86	0.4612234714
87	0.46043051
88	0.459536423
89	0.4585986644
90	0.4577671397
91	0.4569526382
92	0.4560908843
93	0.4551431152
94	0.4543803392
95	0.4536127358
96	0.4526455072
97	0.4518491513
98	0.451120159
99	0.4503371549
100	0.4495751127
101	0.4488177715
102	0.448029645
103	0.4473808059
104	0.446768969
105	0.4461016904
106	0.4454006004
107	0.4447657015
108	0.4441575383
109	0.4432469486
110	0.4425698556
111	0.4418585924
112	0.4411809233
113	0.4406133766
114	0.4398422666
115	0.4390821455
116	0.4384938296
117	0.4378740355
118	0.437255133
119	0.436664943
120	0.4359930211
121	0.435484203
122	0.4348831849
123	0.4341515642
124	0.4336178458
125	0.4330375361
126	0.4324147702
127	0.4317511907
128	0.431023756
129	0.4304134373
130	0.4297893936
131	0.4292692261
132	0.428771857
133	0.4282010236
134	0.4277351843
135	0.4271856857
136	0.4266762561
137	0.4261764891
138	0.425643162
139	0.4250847541
140	0.4246140037
141	0.4242148868
142	0.4237390191
143	0.4232432333
144	0.4227551563
145	0.4222956753
146	0.4218228627
147	0.4213945829
148	0.4208627008
149	0.4203882143
